City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jiuquan,56,CN,1572138160,35,39.73,98.49,30.78,1.54
Qaqortoq,100,GL,1572138160,54,60.72,-46.03,30.2,2.24
Obo,100,CF,1572138160,94,5.39,26.49,69.35,0.87
Jackson,90,US,1572138160,92,43.48,-110.76,32,10.29
Baicheng,0,CN,1572138160,58,45.61,122.87,35.35,8.43
Katangli,100,RU,1572138161,91,51.71,143.23,45.32,5.53
Contamana,60,PE,1572138161,64,-7.35,-75.01,82.94,2.08
Arys,40,KZ,1572138161,56,42.43,68.8,42.8,6.71
Ambovombe,46,MG,1572138161,83,-25.18,46.09,71.55,3.04
Agropoli,0,IT,1572138161,65,40.35,15,64,4
Taoudenni,21,ML,1572138162,20,22.68,-3.98,74.46,8.86
Hualmay,16,PE,1572138162,85,-11.1,-77.61,59.49,4.09
Dingle,88,PH,1572138162,83,11,122.67,79.83,13.94
Kolosovka,100,RU,1572138162,89,56.47,73.61,42.01,18.72
Vanimo,76,PG,1572138162,80,-2.67,141.3,80.85,7.56
Carupano,16,VE,1572138162,97,10.67,-63.26,73.08,1.57
Havre-Saint-Pierre,90,CA,1572138162,56,50.23,-63.6,32,5.82
Bedford,1,US,1572138162,51,32.84,-97.14,62.6,3.36
Kalemie,8,CD,1572138163,77,-5.95,29.2,63.93,3.87
Cayenne,20,GF,1572138003,88,4.94,-52.33,77,5.1
Salinas,1,US,1572138163,67,36.67,-121.66,82.4,4.7
Cairns,40,AU,1572138003,54,-16.92,145.77,86,5.82
Nha Trang,40,VN,1572138163,88,12.24,109.19,80.6,9.17
Ponta do Sol,72,BR,1572138163,84,-20.63,-46,67.62,6.67
Coxim,69,BR,1572138163,37,-18.5,-54.75,88.63,4
Fraga,10,ES,1572138163,87,41.52,0.35,54,4.7
Ossora,0,RU,1572138164,61,59.24,163.07,31.84,2.21
Severo-Kurilsk,100,RU,1572138164,89,50.68,156.12,35.62,20.13
Sobolevo,100,RU,1572138225,87,54.43,31.9,50.23,13.2
Tilichiki,67,RU,1572138225,73,60.47,166.1,21.36,5.41
Tommot,100,RU,1572138225,78,58.97,126.27,15.82,2.77
Takoradi,50,GH,1572138225,88,4.89,-1.75,78.13,11.45
Aswan,0,EG,1572138225,40,24.09,32.9,71.6,4.7
San Juan,5,AR,1572138226,13,-31.54,-68.53,85.62,17.85
Ulaanbaatar,75,MN,1572138226,53,47.92,106.92,26.6,2.24
Comodoro Rivadavia,80,AR,1572138226,40,-45.87,-67.48,60.8,14.99
Strezhevoy,90,RU,1572138226,93,60.73,77.6,35.6,13.42
Podosinovets,66,RU,1572138226,88,60.28,47.06,39.04,9.42
Kieta,90,PG,1572138226,66,-6.22,155.63,84.34,5.95
Tayoltita,0,MX,1572138227,91,24.11,-105.93,66.65,1.86
Sabang,8,PH,1572138227,77,13.8,121.11,84,8.99
Surman,21,LY,1572138227,68,32.76,12.57,72.68,15.05
Northam,0,AU,1572138227,27,-31.65,116.67,78.8,9.17
Birao,99,CF,1572138227,48,10.3,22.78,75.72,1.28
Guanica,40,PR,1572138227,83,17.97,-66.91,78.8,3.36
Bathsheba,20,BB,1572138228,78,13.22,-59.52,80.6,9.17
Yenagoa,87,NG,1572138228,95,4.92,6.26,75,2.35
Sur,7,OM,1572138228,39,22.57,59.53,75.36,1.1
Yakeshi,0,CN,1572138228,93,49.28,120.73,22.62,6.24
Muli,100,CN,1572138228,97,28.08,109.56,47.66,0.72
Usinsk,99,RU,1572138228,92,66,57.56,16.14,12.82
Coihaique,90,CL,1572138228,86,-45.58,-72.07,41,3.36
Klaksvik,100,FO,1572138229,81,62.23,-6.59,42.8,32.21
Hellvik,75,NO,1572138229,86,59.92,5.78,43,19.46
Maragogi,3,BR,1572138229,81,-9.01,-35.22,78.76,14.14
Ca Mau,89,VN,1572137946,92,9.18,105.15,77.9,6.69
Imbituba,75,BR,1572138229,100,-28.24,-48.67,71.6,5.82
Zyryanka,83,RU,1572138229,92,65.73,150.89,0.61,7.02
Zlobin,0,HR,1572138229,82,45.29,14.65,61,2.24
Agadez,100,NE,1572138229,20,16.97,7.99,85.1,6.71
Vila Velha,75,BR,1572138229,74,-3.71,-38.6,80.6,10.29
Marrakesh,25,MA,1572138230,45,31.63,-7.99,64.4,3.36
Susanville,1,US,1572138230,20,40.42,-120.65,62.6,6.93
Anchorage,90,US,1572138230,76,61.22,-149.89,46,12.75
Kovdor,86,RU,1572138230,98,67.56,30.47,14.59,5.12
Molina,90,CL,1572138230,59,-35.11,-71.28,64.4,9.17
Shizunai,93,JP,1572138230,85,42.33,142.37,48.07,6.89
Bandrele,1,YT,1572138230,88,-12.91,45.19,77,3.36
Prado,58,CO,1572138005,59,3.75,-74.93,74.59,7.07
Cholet,90,FR,1572138231,100,47.06,-0.88,61,4.7
Nosy Varika,30,MG,1572138231,96,-20.58,48.53,70.52,5.7
Lagos,20,NG,1572138082,94,6.46,3.39,77,12.1
Bay Roberts,90,CA,1572138231,100,47.58,-53.28,43,9.17
Lapa,90,BR,1572138231,88,-25.77,-49.72,66.99,5.82
Sechelt,20,CA,1572138231,81,49.47,-123.76,54,6.93
Alice Springs,93,AU,1572138124,22,-23.7,133.88,77,14.99
Bastrop,90,US,1572138232,82,32.78,-91.91,57.99,11.41
Kidal,1,ML,1572138232,13,18.44,1.41,81.05,15.93
Mackay,90,CA,1572138232,79,53.65,-115.58,28.4,8.05
Molokovo,100,RU,1572138232,84,58.16,36.77,53.49,22.15
Aksarka,100,RU,1572138232,92,66.56,67.8,19.78,14.97
Tessalit,0,ML,1572138232,13,20.2,1.01,74.03,12.88
Awjilah,0,LY,1572138232,41,29.14,21.3,68.07,5.79
Isla Mujeres,75,MX,1572138294,100,21.23,-86.73,77,4.7
Mwene-Ditu,0,CD,1572138294,96,-7.01,23.45,66.33,4.47
Mango,100,CF,1572138294,99,4.65,22.36,69.24,1.1
Kiunga,100,PG,1572138294,99,-6.12,141.3,73.89,0.94
Los Llanos de Aridane,89,ES,1572138294,83,28.66,-17.92,73.4,3.36
Darhan,100,MN,1572138295,63,49.49,105.92,32.4,3.11
Kalmunai,100,LK,1572138295,77,7.42,81.82,78.76,18.61
Kalianget,51,ID,1572138295,77,-7.35,109.91,88,2.8
Huarmey,4,PE,1572138295,81,-10.07,-78.15,61.09,3.29
Buckie,40,GB,1572138295,81,57.67,-2.97,44.6,23.04
Ekibastuz,16,KZ,1572138295,85,51.72,75.32,44.89,18.63
Sinnamary,0,GF,1572138296,73,5.38,-52.96,82.98,14.18
Nanakuli,75,US,1572138296,62,21.39,-158.15,87.8,8.05
Waddan,72,LY,1572138296,28,29.16,16.14,77.11,19.66
Mamit,92,IN,1572138296,98,23.92,92.49,69.69,2.04
Miquelon,75,PM,1572138296,81,47.1,-56.38,44.6,9.17
Krivosheino,93,RU,1572138296,96,57.34,83.93,30.09,16.31
Savinka,12,RU,1572138296,53,50.08,47.1,50.85,9.78
Vagur,100,FO,1572138296,81,61.47,-6.81,45.16,34.9
Avera,90,US,1572138297,94,33.19,-82.53,75.2,5.82
Lillesand,100,NO,1572138297,100,58.25,8.38,42.01,11.97
Cockburn Town,59,TC,1572138297,77,21.46,-71.14,83.21,16.78
Teguldet,83,RU,1572138297,79,57.31,88.17,23.77,9.01
Bocaiuva,71,BR,1572138297,61,-17.12,-43.81,77,3.36
Tateyama,75,JP,1572138297,87,36.66,137.31,61,2.24
Nipawin,90,CA,1572138283,86,53.36,-104.02,26.6,18.34
Itamaraju,90,BR,1572138298,90,-17.04,-39.53,70.92,4.05
San Felipe,99,CL,1572138298,51,-32.75,-70.73,64.99,0.69
Changli,100,CN,1572138298,93,30.54,105.42,53.26,1.88
Isla Vista,1,US,1572138298,49,34.41,-119.86,78.01,5.82
Florianopolis,75,BR,1572137998,100,-27.6,-48.55,75,5.82
Hanting,79,CN,1572138298,78,30.92,118.55,57.69,3.76
Verkhnevilyuysk,96,RU,1572138298,88,63.45,120.31,17.4,7.74
Fort Frances,1,CA,1572138299,57,48.61,-93.4,50,3.36
Springbok,14,ZA,1572138299,89,-29.67,17.88,44.8,5.01
Mocuba,0,MZ,1572138299,66,-16.84,36.99,78.57,4.03
Orebro,96,SE,1572138035,93,59.27,15.21,43,2.24
Pedasi,53,PA,1572138299,84,7.53,-80.03,80.08,4.68
Bend,40,US,1572138235,60,44.06,-121.32,42.01,14.99
Bela Vista,64,BR,1572138299,49,-22.11,-56.53,82.98,4.34
Araouane,26,ML,1572138299,11,18.9,-3.53,78.04,13.94
Kroya,89,ID,1572138300,62,-6.5,108.06,81.95,5.86
Zambezi,27,ZM,1572138300,78,-13.55,23.12,71.89,6.58
Gull Lake,90,CA,1572138300,85,50.1,-108.48,23,21.92
Saint-Francois,100,FR,1572138300,87,46.42,3.91,57,2.24
Trebic,0,CZ,1572138300,93,49.21,15.88,48,1.12
Kibre Mengist,93,ET,1572138300,96,5.87,38.99,58.87,1.25
Dudinka,75,RU,1572138300,92,69.41,86.18,17.6,15.66
Brae,91,GB,1572138300,93,60.4,-1.35,46.4,1.12
Agirish,72,RU,1572138300,93,61.92,63.02,38.25,11.45
Harer,40,US,1572138301,74,42.19,-111.17,42.01,6.93
Faya,66,SA,1572138301,76,18.39,42.45,60.8,2.68
Suchil,47,MX,1572138301,61,23.62,-103.92,63.05,9.19
Mazagao,40,BR,1572138301,83,-0.12,-51.29,84.2,10.29
Xai-Xai,72,MZ,1572138301,83,-25.04,33.64,74.28,5.41
Eureka,1,US,1572138362,58,40.8,-124.16,57.99,24.16
Port Keats,63,AU,1572138362,55,-14.25,129.55,86.22,8.61
Todos Santos,5,MX,1572138363,58,23.45,-110.23,82.4,13.87
Banda Aceh,86,ID,1572138363,92,5.56,95.32,73.31,2.17
Kysyl-Syr,100,RU,1572138363,92,63.9,122.77,12.72,9.28
Orbetello,0,IT,1572138363,87,42.44,11.21,62.01,5.82
Otawara,75,JP,1572138363,93,36.87,140.03,64,12.75
Marsh Harbour,100,BS,1572138363,84,26.54,-77.06,80.82,12.75
Ati,91,TD,1572138363,52,13.21,18.34,83.48,7.02
Tuy Hoa,18,VN,1572138364,80,13.08,109.3,80.4,12.06
Nekrasovka,75,RU,1572138364,69,48.35,135.23,33.8,11.18
